,city,region,country,lng,lat,population
0,A Coruña,Galicia,ES,-8.3833,43.3667,245468
1,Aachen,North Rhine-Westphalia,DE,6.0838,50.7762,248960
2,Aalborg,Nordjylland,DK,9.9166,57.0337,122219
3,Aalen,Baden-Württemberg,DE,10.0936,48.8372,68361
4,Aalsmeer,Noord-Holland,NL,4.7625,52.2639,31728
5,Aalst,Flanders,BE,4.0392,50.9383,85715
6,Aalten,Gelderland,NL,6.5808,51.925,27011
7,Aarau,Aargau,CH,8.0446,47.3923,21268
8,Aarhus,Midtjylland,DK,10.2107,56.1572,237551
9,Aasiaat,Qaasuitsup,GL,-52.8694,68.7097,3069
10,Aba,Abia,NG,7.3667,5.1167,1530000
11,Abakan,Khakasiya,RU,91.4167,53.7167,181709
12,Abancay,Apurímac,PE,-72.8833,-13.6333,72277
13,Abarkūh,Yazd,IR,53.2822,31.1289,27524
14,Abasolo,Guanajuato,MX,-101.5289,20.4511,27389
15,Abasolo,Tamaulipas,MX,-98.3733,24.0559,11862
16,Abbeville,Hauts-de-France,FR,1.8358,50.1058,22837
17,Abbottabad,Khyber Pakhtunkhwa,PK,73.2167,34.15,148587
18,Abdurahmoni Jomí,Khatlon,TJ,68.689,37.9794,8925
19,Abengourou,Comoé,CI,-3.4964,6.7297,104020
20,Abeokuta,Ogun,NG,3.35,7.15,888924
21,Abhar,Zanjān,IR,49.2181,36.1467,99285
22,Abhā,‘Asīr,SA,42.5,18.2167,236157
23,Abidjan,Abidjan,CI,-4.0267,5.3364,4980000
24,Abinsk,Krasnodarskiy Kray,RU,38.1667,44.8667,38547
25,Aboisso,Comoé,CI,-3.2,5.4667,37654
26,Abomey,Zou,BJ,1.9914,7.1853,82154
27,Abra Pampa,Jujuy,AR,-65.7,-22.7167,4480
28,Abrantes,Santarém,PT,-8.1978,39.4644,39325
29,Abu Dhabi,Abū Z̧aby,AE,54.3969,24.4511,1483000
30,Abuja,Federal Capital Territory,NG,7.4914,9.0556,1235880
31,Abéché,Ouaddaï,TD,20.8347,13.8331,76492
32,Acacoyagua,Chiapas,MX,-92.6747,15.3408,8092
33,Acacías,Meta,CO,-73.7647,3.9889,75252
34,Acala,Chiapas,MX,-92.8069,16.5533,15001
35,Acanceh,Yucatán,MX,-89.4524,20.8133,10968
36,Acapulco de Juárez,Guerrero,MX,-99.8825,16.8636,673478
37,Acarigua,Portuguesa,VE,-69.2019,9.5597,195637
38,Acatic,Jalisco,MX,-102.91,20.7803,21530
39,Acatlán,Jalisco,MX,-103.6014,20.4242,22261
40,Acatzingo,Puebla,MX,-97.7822,18.9817,52078
41,Acayucan,Veracruz,MX,-94.9103,17.9422,83817
42,Accra,Greater Accra,GH,-0.187,5.6037,2291352
43,Acevedo,Huila,CO,-75.8897,1.8047,39877
44,Achkhoy-Martan,Chechnya,RU,45.2833,43.1939,23282
